日期	收盘
2018年3月14日	3,291.38
2018年3月13日	3,310.24
2018年3月12日	3,326.70
2018年3月9日	3,307.17
2018年3月8日	3,288.41
2018年3月7日	3,271.67
2018年3月6日	3,289.64
2018年3月5日	3,256.93
2018年3月2日	3,254.53
2018年3月1日	3,273.75
2018年2月28日	3,259.41
2018年2月27日	3,292.07
2018年2月26日	3,329.57
2018年2月23日	3,289.02
2018年2月22日	3,268.56
2018年2月14日	3,199.16
2018年2月13日	3,184.96
2018年2月12日	3,154.13
2018年2月9日	3,129.85
2018年2月8日	3,262.05
2018年2月7日	3,309.26
2018年2月6日	3,370.65
2018年2月5日	3,487.50
2018年2月2日	3,462.08
2018年2月1日	3,446.98
2018年1月31日	3,480.83
2018年1月30日	3,488.01
2018年1月29日	3,523.00
2018年1月26日	3,558.13
2018年1月25日	3,548.31
2018年1月24日	3,559.47
2018年1月23日	3,546.50
2018年1月22日	3,501.36
2018年1月19日	3,487.86
2018年1月18日	3,474.75
2018年1月17日	3,444.67
2018年1月16日	3,436.59
2018年1月15日	3,410.49
2018年1月12日	3,428.94
2018年1月11日	3,425.34
2018年1月10日	3,421.83
2018年1月9日	3,413.90
2018年1月8日	3,409.48
2018年1月5日	3,391.75
2018年1月4日	3,385.71
2018年1月3日	3,369.11
2018年1月2日	3,348.33
2017年12月29日	3,307.17
2017年12月28日	3,296.38
2017年12月27日	3,275.78
2017年12月26日	3,306.12
2017年12月25日	3,280.46
2017年12月22日	3,297.06
2017年12月21日	3,300.06
2017年12月20日	3,287.61
2017年12月19日	3,296.54
2017年12月18日	3,267.92
2017年12月15日	3,266.14
2017年12月14日	3,292.44
2017年12月13日	3,303.04
2017年12月12日	3,280.81
2017年12月11日	3,322.20
2017年12月8日	3,289.99
2017年12月7日	3,272.05
2017年12月6日	3,293.96
2017年12月5日	3,303.68
2017年12月4日	3,309.62
2017年12月1日	3,317.62
2017年11月30日	3,317.19
2017年11月29日	3,337.86
2017年11月28日	3,333.66
2017年11月27日	3,322.23
2017年11月24日	3,353.82
2017年11月23日	3,351.92
2017年11月22日	3,430.46
2017年11月21日	3,410.50
2017年11月20日	3,392.40
2017年11月17日	3,382.91
2017年11月16日	3,399.25
2017年11月15日	3,402.52
2017年11月14日	3,429.55
2017年11月13日	3,447.84
2017年11月10日	3,432.67
2017年11月9日	3,427.79
2017年11月8日	3,415.46
2017年11月7日	3,413.57
2017年11月6日	3,388.17
2017年11月3日	3,371.74
2017年11月2日	3,383.31
2017年11月1日	3,395.91
2017年10月31日	3,393.34
2017年10月30日	3,390.34
2017年10月27日	3,416.81
2017年10月26日	3,407.57
2017年10月25日	3,396.90
2017年10月24日	3,388.25
2017年10月23日	3,380.70
2017年10月20日	3,378.65
2017年10月19日	3,370.17
2017年10月18日	3,381.79
2017年10月17日	3,372.04
2017年10月16日	3,378.47
2017年10月13日	3,390.52
2017年10月12日	3,386.10
2017年10月11日	3,388.28
2017年10月10日	3,382.99
2017年10月9日	3,374.38
2017年9月29日	3,348.94
2017年9月28日	3,339.64
2017年9月27日	3,345.27
2017年9月26日	3,343.58
2017年9月25日	3,341.55
2017年9月22日	3,352.53
2017年9月21日	3,357.81
2017年9月20日	3,366.00
2017年9月19日	3,356.84
2017年9月18日	3,362.86
2017年9月15日	3,353.62
2017年9月14日	3,371.43
2017年9月13日	3,384.15
2017年9月12日	3,379.49
2017年9月11日	3,376.42
2017年9月8日	3,365.24
2017年9月7日	3,365.50
2017年9月6日	3,385.39
2017年9月5日	3,384.32
2017年9月4日	3,379.58
2017年9月1日	3,367.12
2017年8月31日	3,360.81
2017年8月30日	3,363.63
2017年8月29日	3,365.23
2017年8月28日	3,362.65
2017年8月25日	3,331.52
2017年8月24日	3,271.51
2017年8月23日	3,287.70
2017年8月22日	3,290.23
2017年8月21日	3,286.91
2017年8月18日	3,268.72
2017年8月17日	3,268.43
2017年8月16日	3,246.45
2017年8月15日	3,251.26
2017年8月14日	3,237.36
2017年8月11日	3,208.54
2017年8月10日	3,261.75
2017年8月9日	3,275.57
2017年8月8日	3,281.87
2017年8月7日	3,279.46
2017年8月4日	3,262.08
2017年8月3日	3,272.93
2017年8月2日	3,285.06
2017年8月1日	3,292.64
2017年7月31日	3,273.03
2017年7月28日	3,253.24
2017年7月27日	3,249.78
2017年7月26日	3,247.67
2017年7月25日	3,243.69
2017年7月24日	3,250.60
2017年7月21日	3,237.98
2017年7月20日	3,244.86
2017年7月19日	3,230.98
2017年7月18日	3,187.57
2017年7月17日	3,176.46
2017年7月14日	3,222.42
2017年7月13日	3,218.16
2017年7月12日	3,197.54
2017年7月11日	3,203.04
2017年7月10日	3,212.63
2017年7月7日	3,217.96
2017年7月6日	3,212.44
2017年7月5日	3,207.13
2017年7月4日	3,182.80
2017年7月3日	3,195.91
2017年6月30日	3,192.43
2017年6月29日	3,188.06
2017年6月28日	3,173.20
2017年6月27日	3,191.20
2017年6月26日	3,185.44
2017年6月23日	3,157.87
2017年6月22日	3,147.45
2017年6月21日	3,156.21
2017年6月20日	3,140.01
2017年6月19日	3,144.37
2017年6月16日	3,123.17
2017年6月15日	3,132.49
2017年6月14日	3,130.67
2017年6月13日	3,153.74
2017年6月12日	3,139.88
2017年6月9日	3,158.40
2017年6月8日	3,150.33
2017年6月7日	3,140.32
2017年6月6日	3,102.13
2017年6月5日	3,091.66
2017年6月2日	3,105.54
2017年6月1日	3,102.62
2017年5月31日	3,117.18
2017年5月26日	3,110.06
2017年5月25日	3,107.83
2017年5月24日	3,064.08
2017年5月23日	3,061.95
2017年5月22日	3,075.68
2017年5月19日	3,090.63
2017年5月18日	3,090.14
2017年5月17日	3,104.44
2017年5月16日	3,112.96
2017年5月15日	3,090.23
2017年5月12日	3,083.51
2017年5月11日	3,061.50
2017年5月10日	3,052.78
2017年5月9日	3,080.53
2017年5月8日	3,078.61
2017年5月5日	3,103.04
2017年5月4日	3,127.37
2017年5月3日	3,135.35
2017年5月2日	3,143.71
2017年4月28日	3,154.66
2017年4月27日	3,152.19
2017年4月26日	3,140.85
2017年4月25日	3,134.57
2017年4月24日	3,129.53
2017年4月21日	3,173.15
2017年4月20日	3,172.10
2017年4月19日	3,170.69
2017年4月18日	3,196.71
2017年4月17日	3,222.17
2017年4月14日	3,246.07
2017年4月13日	3,275.96
2017年4月12日	3,273.83
2017年4月11日	3,288.97
2017年4月10日	3,269.39
2017年4月7日	3,286.62
2017年4月6日	3,281.00
2017年4月5日	3,270.31
2017年3月31日	3,222.51
2017年3月30日	3,210.24
2017年3月29日	3,241.31
2017年3月28日	3,252.95
2017年3月27日	3,266.96
2017年3月24日	3,269.45
2017年3月23日	3,248.55
2017年3月22日	3,245.22
2017年3月21日	3,261.61
2017年3月20日	3,250.81
2017年3月17日	3,237.45
2017年3月16日	3,268.94
2017年3月15日	3,241.76
2017年3月14日	3,239.33
2017年3月13日	3,237.02
2017年3月10日	3,212.76
2017年3月9日	3,216.75
2017年3月8日	3,240.66
2017年3月7日	3,242.41
2017年3月6日	3,233.87
2017年3月3日	3,218.31
2017年3月2日	3,230.03
2017年3月1日	3,246.93
2017年2月28日	3,241.73
2017年2月27日	3,228.66
2017年2月24日	3,253.43
2017年2月23日	3,251.38
2017年2月22日	3,261.22
2017年2月21日	3,253.33
2017年2月20日	3,239.96
2017年2月17日	3,202.08
2017年2月16日	3,229.62
2017年2月15日	3,212.99
2017年2月14日	3,217.93
2017年2月13日	3,216.84
2017年2月10日	3,196.70
2017年2月9日	3,183.18
2017年2月8日	3,166.98
2017年2月7日	3,153.09
2017年2月6日	3,156.98
2017年2月3日	3,140.17
2017年1月26日	3,159.17
2017年1月25日	3,149.55
2017年1月24日	3,142.55
2017年1月23日	3,136.77
2017年1月20日	3,123.14
2017年1月19日	3,101.30
2017年1月18日	3,113.01
2017年1月17日	3,108.77
2017年1月16日	3,103.43
2017年1月13日	3,112.76
2017年1月12日	3,119.29
2017年1月11日	3,136.75
2017年1月10日	3,161.67
2017年1月9日	3,171.24
2017年1月6日	3,154.32
2017年1月5日	3,165.41
2017年1月4日	3,158.79
2017年1月3日	3,135.92
2016年12月30日	3,103.64
2016年12月29日	3,096.10
2016年12月28日	3,102.24
2016年12月27日	3,114.66
2016年12月26日	3,122.57
2016年12月23日	3,110.15
2016年12月22日	3,139.56
2016年12月21日	3,137.43
2016年12月20日	3,102.88
2016年12月19日	3,118.08
2016年12月16日	3,122.98
2016年12月15日	3,117.68
2016年12月14日	3,140.53
2016年12月13日	3,155.04
2016年12月12日	3,152.97
2016年12月9日	3,232.88
2016年12月8日	3,215.37
2016年12月7日	3,222.24
2016年12月6日	3,199.65
2016年12月5日	3,204.71
2016年12月2日	3,243.84
2016年12月1日	3,273.31
2016年11月30日	3,250.03
2016年11月29日	3,282.92
2016年11月28日	3,277.00
2016年11月25日	3,261.94
2016年11月24日	3,241.74
2016年11月23日	3,241.14
2016年11月22日	3,248.35
2016年11月21日	3,218.15
2016年11月18日	3,192.86
2016年11月17日	3,208.45
2016年11月16日	3,205.06
2016年11月15日	3,206.99
2016年11月14日	3,210.37
2016年11月11日	3,196.04
2016年11月10日	3,171.28
2016年11月9日	3,128.37
2016年11月8日	3,147.89
2016年11月7日	3,133.33
2016年11月4日	3,125.32
2016年11月3日	3,128.94
2016年11月2日	3,102.73
2016年11月1日	3,122.44
2016年10月31日	3,100.49
2016年10月28日	3,104.27
2016年10月27日	3,112.35
2016年10月26日	3,116.31
2016年10月25日	3,131.94
2016年10月24日	3,128.25
2016年10月21日	3,090.94
2016年10月20日	3,084.46
2016年10月19日	3,084.72
2016年10月18日	3,083.88
2016年10月17日	3,041.17
2016年10月14日	3,063.81
2016年10月13日	3,061.35
2016年10月12日	3,058.50
2016年10月11日	3,065.25
2016年10月10日	3,048.14
2016年9月30日	3,004.70
2016年9月29日	2,998.48
2016年9月28日	2,987.86
2016年9月27日	2,998.17
2016年9月26日	2,980.43
2016年9月23日	3,033.90
2016年9月22日	3,042.31
2016年9月21日	3,025.87
2016年9月20日	3,023.00
2016年9月19日	3,026.05
2016年9月14日	3,002.85
2016年9月13日	3,023.51
2016年9月12日	3,021.98
2016年9月9日	3,078.85
2016年9月8日	3,095.95
2016年9月7日	3,091.93
2016年9月6日	3,090.71
2016年9月5日	3,072.10
2016年9月2日	3,067.35
2016年9月1日	3,063.31
2016年8月31日	3,085.49
2016年8月30日	3,074.68
2016年8月29日	3,070.03
2016年8月26日	3,070.31
2016年8月25日	3,068.33
2016年8月24日	3,085.88
2016年8月23日	3,089.71
2016年8月22日	3,084.81
2016年8月19日	3,108.10
2016年8月18日	3,104.11
2016年8月17日	3,109.55
2016年8月16日	3,110.04
2016年8月15日	3,125.20
2016年8月12日	3,050.67
2016年8月11日	3,002.64
2016年8月10日	3,018.75
2016年8月9日	3,025.68
2016年8月8日	3,004.28
2016年8月5日	2,976.70
2016年8月4日	2,982.43
2016年8月3日	2,978.46
2016年8月2日	2,971.28
2016年8月1日	2,953.39
2016年7月29日	2,979.34
2016年7月28日	2,994.32
